Minggu Ke-,Kurs Jual Rataan
1,12.723
2,12688.6
3,12670.6
4,12542.8
5,12681.6
6,12.721
7,12837.2
8,12919.4
9,13025.4
10,13151.2
11,13227.6
12,13076.6
13,13120.4
14,13026.8
15,12984.8
16,12994.6
17,13029.4
18,13143.6
19,13221.8
20,13232.6
21,13280.2
22,13.383
23,13395.2
24,13382.6
25,13.403
26,13.400
27,13388.8
28,13491.6
29,13.543
30,13599.8
31,13853.6
32,14049.8
33,14145.2
34,14291.2
35,14424.6
36,14567.2
37,14758.2
38,14385.4
39,13540.6
40,13672.6
41,13.688
42,13645.8
43,13.686
44,13815.4
45,13.783
46,13885.6
47,14.001
48,14079.2
49,13738.2
50,13.956
51,13945.6
52,13.976
53,13945.6
54,13785.4
55,13611.6
56,13535.6
57,13490.8
58,13365.6
59,13.148
60,13191.6
61,13.322
62,13305.6
63,13235.2
64,13236.6
65,13252.8
66,13.253
67,13352.8
68,13407.4
69,13682.4
70,13707.4
71,13454.2
72,13396.4
73,13359.6
74,13344.8
75,13206.2
76,13159.8
77,13193.8
78,13161.4
79,13198.6
80,13.179
81,13276.2
82,13335.4
83,13224.8
84,13223.6
85,13195.6
86,13060.8
87,13062.4
88,13076.8
89,13089.8
90,13093.2
91,13124.8
92,13210.4
93,13434.2
94,13556.4
95,13604.8
96,13446.8
97,13420.4
98,13508.4
99,13522.4
100,13.447
101,13398.4
102,13424.6
103,13407.4
104,13414.2
105,13391.6
106,13.414
107,13415.6
108,13.425
109,13.440
110,13.397
111,13389.8
112,13392.4
113,13368
114,13366.6
115,13369.6
116,13388.2
117,13390.4
118,13.399
119,13381.8
120,13363.8
121,13356.4
122,13.371
123,13431.2
124,13437.4
125,13381.8
126,13389.8
127,13392.2
128,13.401
129,13.424
130,13.411
131,13411.6
132,13324.8
133,13.307
134,13393.2
135,13572.4
136,13561.8
137,13570.8
138,13602.4
139,13654.8
140,13591.8
141,13600.8
142,13598.2
143,13580.4
144,13594.4
145,13629.2
146,13641.6
147,13623.2
148,13530.4
149,13466.2
150,13404.2
151,13378.6
152,13494.8
153,13.661
154,13.665
155,13713.2
156,13816.2
157,13840.2
158,13824.6
159,13821
160,13824.2
161,13.832
162,13833.4
163,13.922
164,13987
165,14081.4
166,14124.4
167,14254.4
168,14.031
169,13959.4
170,14195.4
171,14425.2
172,14.441
173,14469.2
174,14562.2
175,14.510
176,14.543
177,14610.2
178,14.681
179,14719.8
180,14.936
181,14911.2
182,14940.6
183,14991.6
184,15192.4
185,15304.2
186,15272.8
187,15283.2
188,15219.6
189,14810.6
190,14792.4
191,14636.4
192,14437.2
193,14584.6
194,14631.2
195,14577.2
196,14534.6
197,14155.4
198,14196.6
199,14.256
200,14129.8
201,14047.6
202,14156.4
203,14133.6
204,14133.6
205,14285.8
206,14331.6
207,14247.8
208,14304.8
209,14.229
210,14.162
211,14188.6
212,14318.8
213,14404.2
214,14531.4
215,14.527
216,14405.8
217,14369.2
218,14256.2
219,14221.4
220,14.209
221,14114.4
222,14024.8
223,14078.4
224,14251.2
225,14311.8
226,14321.6
227,14318.6
228,14303.2
229,14197.4
230,14107.2
231,14158
232,14243.6
233,14243.2
234,14.219.666
235,14.208.488
236,14102.56
237,14.100.352
238,14.100.352
239,14.153.418
240,14.166.684
241,14180.35
242,14.126.484
243,14.084.272
244,14.058.546
245,13988.8
246,13.966.688
247,13.743.174
248,13.717.848
249,13.709.608
250,13.770.914
251,13.756.242
252,13.788.202
253,14.064.776
254,14.319.444
255,14.548.584
256,15.498.912
257,16.479.588
258,16.590.744
259,16172.06
260,15.714.788
261,15.643.632
262,15251.08
263,15.025.958
264,14909.38
265,14.675.014
266,14125.68
267,14248.49
268,14.283.464
269,14.367.886
270,14.581.546
271,14.584.762
272,14.816.114
273,14.673.204
274,14.727.878
275,14.829.582
276,14.881.238
277,14.717.422
278,14.867.166
279,14983.95
280,14.872.996
281,14.997.418
282,14.926.864
283,14.835.812
284,14.828.978
285,14.769.482
286,14.752.798
287,14.372.308
288,14210.1
289,14.245.474
290,14.220.752
291,14.235.224
292,14.215.726
293,14.240.248
294,14311
295,14.066.788
296,14.168.694
297,14154.02
298,14.140.754
299,14.131.508
300,14.087.488
301,14.042.266
302,14161.86
303,14.326.076
304,14.461.752
305,14.490.696
306,14.516.222
307,14.551.798
308,14.630.794
309,14.663.354
310,14.662.348
311,14.595.216
312,14.538.132
313,14369.09
314,14.307.784
315,14433.41
316,14383.36
317,14355.824
318,14305.974
319,14454.316
320,14538.532
321,14591.596
322,14586.168
323,14590.794
324,14570.492
325,14491.096
326,14446.878
327,14478.634
328,14485.672
329,14372.708
330,14310.6
331,14319.242
332,14321.252
333,14365.474
334,14320.046
335,14248.29
336,14201.456
337,14261.758
338,14377.734
339,14315.826
340,14309.798
341,14360.244
342,14451.902
343,14438.032
344,14422.758
345,14332.912
346,14335.122
347,14422.556
348,14380.548
349,14416.326
350,14444.264
351,14450.496
352,14411.5
353,14393.412
354,14435.422
355,14443.26
356,14382.758
357,14421.954
358,14425.974
359,14431.198
360,14433.21
361,14424.366
362,14531.496
363,14662.35
364,14751.796
365,14649.886
366,14550.192
367,14764.86
368,14906.764
369,14917.216
370,15056.308
371,15060.328
372,15070.578
373,15070.578
374,14968.068
375,14945.358
376,14846.262
377,14927.668
378,14954.198
379,14971.082
380,14966.66
381,15081.836
382,15275.196
383,1517.81
384,15432.98
385,15603.428
386,15661.316
387,15740.714
388,15723.024
389,15688.452
390,15766.038
391,15729.054
392,15640.814
393,15711.968
394,15683.826
395,15742.522
396,15682.422
397,15523.834
398,15184.342
399,15036.61
400,15035.602
401,15223.136
402,15256.906
403,15290.874
404,15350.368
405,15495.09
406,15456.7
407,15254.694
408,15049.878
409,14953.194
410,14859.324
411,14748.576
412,14810.886
413,14940.332
414,15008.066
415,14989.372
416,14952.992
417,15055.706
418,15070.176
419,15159.622
420,15110.376
421,15084.244
422,15140.726
423,15264.744
424,15337.104
425,15394.59
426,15345.546
427,15336.902
428,15424.336
429,15451.672
430,15510.972
431,15646.44
432,15763.024
433,15821.114
434,15973.872
435,15991.762
436,15716.594
437,15718.806
438,15584.736
439,15563.832
440,15580.314
441,15651.27
442,15591.57
443,15523.428
444,15593.18
445,15644.232
446,15714.18
447,15866.136
448,15819.704
449,15706.54
450,15711.366
451,15753.172
452,15771.06
453,15711.366
454,15829.556
455,15977.89
456,16154.972
457,16304.518
458,16289.644
459,16155.578
460,16079.196
461,16193.968
462,16332.658
463,16358.588
464,16492.25
465,16478.784
466,16419.492
467,16294.066
468,16264.72
469,16336.476
470,16330.246
471,16102.514
472,15792.566
473,15567.25
474,15558.004
475,15532.274
476,15482.226
477,15298.912
478,15225.548
479,15574.888
480,15680.01
481,15586.144
482,15744.534
483,15814.074
484,15823.924
485,15920.606
486,15980.506
487,15985.93
488,15955.38
489,16099.092
490,16314.166
491,16273.964
492,16297.682
493,16421.502
494,16359.992
495,16435.368
496,16438.586
497,16375.268
498,16429.136
499,16524.212
500,16476.572
501,16524.612
502,16650.44
503,16913.952
504,16916.764
505,16932.644
506,16602.2
507,16593.756
508,16457.074
509,16350.746
510,16353.362
511,16394.97
512,16437.378
513,16295.474
514,16315.168
515,16370.648
516,16390.144
517,16498.08
518,16434.968